 (Half Day),(Meio Dia)
Update bank payment dates with journals.,Atualizar datas de pagamento bancário com livro Diário.
Update clearance date of Journal Entries marked as 'Bank Vouchers',Data de apuramento Atualização de entradas de diário marcado como ' Banco ' Vouchers
Updated,Atualizado
Updated Birthday Reminders,Lembretes de Aniversário Atualizados
Upload Attendance,Carregar Comparecimento
Upload Backups to Dropbox,Carregar Backups para Dropbox
Upload Backups to Google Drive,Carregar Backups para Google Drive
Upload HTML,Carregar HTML
Upload a .csv file with two columns: the old name and the new name. Max 500 rows.,Enviar um arquivo CSV com duas colunas:. O nome antigo e o novo nome. No máximo 500 linhas.
Upload attendance from a .csv file,Carregar comparecimento a partir de um arquivo CSV.
Upload stock balance via csv.,Carregar saldo de estoque a partir de um arquivo CSV.
Upload your letter head and logo - you can edit them later.,Envie seu cabeça carta e logo - você pode editá-las mais tarde.
Upper Income,Receita Alta
Urgent,Urgente
Use Multi-Level BOM,Utilize LDM de Vários Níveis
Use SSL,Usar SSL
User,Usuário
User ID,ID de Usuário
User ID not set for Employee {0},ID do Usuário não definido para o Colaborador {0}
User Name,Nome de Usuário
User Name or Support Password missing. Please enter and try again.,Nome de usuário ou senha Suporte faltando. Por favor entre e tente novamente.
User Remark,Observação do Usuário
User Remark will be added to Auto Remark,Observação do usuário será adicionado à observação automática
User Remarks is mandatory,Usuário Observações é obrigatório
User Specific,Especificas do usuário
User must always select,O Usuário deve sempre selecionar
User {0} is already assigned to Employee {1},Usuário {0} já está atribuído ao Colaborador {1}
User {0} is disabled,Usuário {0} está desativado
Username,Nome do Usuário
Users with this role are allowed to create / modify accounting entry before frozen date,Os usuários com essa função tem permissão para criar / modificar registro contábil antes da data congelado
Users with this role are allowed to set frozen accounts and create / modify accounting entries against frozen accounts,Os usuários com esta função são autorizados a estabelecer contas congeladas e criar / modificar lançamentos contábeis contra contas congeladas
Utilities,Utilitários
Utility Expenses,Despesas de Utilidade
Valid For Territories,Válido para os territórios
Valid From,Válido de
Valid Upto,Válido até
Valid for Territories,Válido para Territórios
Validate,Validar
Valuation,Avaliação
Valuation Method,Método de Avaliação
Valuation Rate,Taxa de Avaliação
Valuation Rate required for Item {0},Valorização Taxa exigida para item {0}
Valuation and Total,Avaliação e Total
Value,Valor
Value or Qty,Valor ou Qtde
Vehicle Dispatch Date,Data de Despacho do Veículo
Vehicle No,Veículo Nº
Venture Capital,Capital de Risco
Verified By,Verificado Por
View Ledger,Ver Livro Contábil
View Now,Ver Agora
Visit report for maintenance call.,Relatório de visita da chamada de manutenção.
Voucher #,Comprovante Nº
Voucher Detail No,Nº do Detalhe do comprovante
Voucher ID,ID do Comprovante
Voucher No,Nº do Comprovante
Voucher No is not valid,O Nº do Comprovante não é válido
Voucher Type,Tipo de Comprovante
Voucher Type and Date,Tipo e Data do Comprovante
Walk In,Walk In
Warehouse,Almoxarifado
Warehouse Contact Info,Informações de Contato do Almoxarifado
Warehouse Detail,Detalhe do Almoxarifado
Warehouse Name,Nome do Almoxarifado 
Warehouse User,Usuário do Almoxarifado
Warehouse and Reference,Almoxarifado e Referência
Warehouse can not be deleted as stock ledger entry exists for this warehouse.,Almoxarifado não pode ser excluído como existe entrada de material de contabilidade para este almoxarifado.
Warehouse can only be changed via Stock Entry / Delivery Note / Purchase Receipt,Almoxarifado só pode ser alterado através da entrada / Nota de Entrega / Recibo de Compra
Warehouse cannot be changed for Serial No.,Almoxarifado não pode ser alterado para Nº de Série.
Warehouse is mandatory for stock Item {0} in row {1},Almoxarifado é obrigatório para o item do estoque {0} na linha {1}
Warehouse is missing in Purchase Order,Almoxarifado está faltando na Ordem de Compra
Warehouse not found in the system,Warehouse não foi encontrado no sistema
Warehouse required for stock Item {0},Almoxarifado necessário para o item do estoque {0}
Warehouse required in POS Setting,Almoxarifado exigido na configuração do PDV
Warehouse where you are maintaining stock of rejected items,Almoxarifado onde você está mantendo estoque de itens rejeitados
Warehouse {0} can not be deleted as quantity exists for Item {1},Almoxarifado {0} não pode ser excluído como existe quantidade para item {1}
Warehouse {0} does not belong to company {1},Almoxarifado {0} não pertence à empresa {1}
Warehouse {0} does not exist,Almoxarifado {0} não existe
Warehouse-Wise Stock Balance,Balanço do Estoque por Almoxarifado
Warehouse-wise Item Reorder,Reposição de Itens por Almoxarifado
Warehouses,Almoxarifados
Warehouses.,Almoxarifados.
Warn,Avisar
Warning: Leave application contains following block dates,Aviso: Solicitação de Férias contém as seguintes datas bloqueadas
Warning: Material Requested Qty is less than Minimum Order Qty,Aviso: A Qtde de Material solicitado é menor do que a Qtde Mínima de Ordem
Warning: Sales Order {0} already exists against same Purchase Order number,Aviso: Pedido de Vendas {0} já existe contra mesmo número de ordem de compra
Warning: System will not check overbilling since amount for Item {0} in {1} is zero,Aviso : O sistema não irá verificar superfaturamento desde montante para item {0} em {1} é zero
Warranty / AMC Details,Garantia / Detalhes do CAM
Warranty / AMC Status,Garantia / Estado do CAM
Warranty Expiry Date,Data de Expiração da Garantia
Warranty Period (Days),Período de Garantia (Dias)
Warranty Period (in days),Período de Garantia (em dias)
We buy this Item,Nós compramos este item
We sell this Item,Nós vendemos este item
Website,Site
Website Description,Descrição do Site
Website Item Group,Grupo do Item do Site
Website Item Groups,Grupos de Itens do Site
Website Settings,Configurações do Site
Website Warehouse,Almoxarifado do Site
Wednesday,Quarta-feira
Weekly,Semanal
Weekly Off,Descanso Semanal
Weight UOM,UDM de Peso
"Weight is mentioned,\nPlease mention ""Weight UOM"" too",Peso é mencionado.\nPor favor mencionar 'UDM do Peso' também
Weightage,Peso
Weightage (%),Peso (%)
Welcome,Bem-Vindo(a)
Welcome to ERPNext. Over the next few minutes we will help you setup your ERPNext account. Try and fill in as much information as you have even if it takes a bit longer. It will save you a lot of time later. Good Luck!,"Bem-vindo ao ERPNext . Nos próximos minutos, vamos ajudá-lo a configurar sua conta ERPNext . Experimente e preencha o máximo de informações que você tem mesmo que demore um pouco mais. Ela vai lhe poupar muito tempo mais tarde. Boa Sorte!"
Welcome to ERPNext. Please select your language to begin the Setup Wizard.,Bem-vindo ao ERPNext . Por favor selecione o idioma para iniciar o Assistente de Configuração.
What does it do?,O que ele faz ?
"When any of the checked transactions are ""Submitted"", an email pop-up automatically opened to send an email to the associated ""Contact"" in that transaction, with the transaction as an attachment. The user may or may not send the email.","Quando qualquer uma das operações marcadas são &quot;Enviadas&quot;, um pop-up abre automaticamente para enviar um e-mail para o &quot;Contato&quot; associado a transação, com a transação como um anexo. O usuário pode ou não enviar o e-mail."
"When submitted, the system creates difference entries to set the given stock and valuation on this date.","Quando submetidos , o sistema cria entradas de diferença para definir o estoque e valorização dada nesta data ."
Where items are stored.,Onde os itens são armazenados.
Where manufacturing operations are carried out.,Onde as operações de fabricação são realizadas.
Widowed,Viúvo(a)
Will be calculated automatically when you enter the details,Será calculado automaticamente quando você digitar os detalhes
Will be updated after Sales Invoice is Submitted.,Será atualizado após a factura de venda é submetido.
Will be updated when batched.,Será atualizado quando agrupadas.
Will be updated when billed.,Será atualizado quando faturado.
Wire Transfer,Transferência Bancária
With Operations,Com as Operações
With period closing entry,Com a entrada de encerramento do período
Work Details,Detalhes da Obra
Work Done,Trabalho Concluído
Work In Progress,Trabalho em Andamento
Work-in-Progress Warehouse,Almoxarifado de Trabalho em Andamento
Work-in-Progress Warehouse is required before Submit,Almozarifado de Trabalho em Andamento é necessário antes de Enviar
Working,Trabalhando
Workstation,Estação de Trabalho
Workstation Name,Nome da Estação de Trabalho
Write Off Account,Eliminar Conta
Write Off Amount,Eliminar Valor
Write Off Amount <=,Eliminar Valor &lt;=
Write Off Based On,Eliminar Baseado em
Write Off Cost Center,Eliminar Centro de Custos
Write Off Outstanding Amount,Eliminar saldo devedor
Write Off Voucher,Eliminar comprovante
Wrong Template: Unable to find head row.,Template errado: Não é possível encontrar linha cabeça.
Year,Ano
Year Closed,Ano Encerrado
Year End Date,Data de Fim de Ano
Year Name,Nome do Ano
Year Start Date,Data de início do ano
Year of Passing,Ano de Passagem
Yearly,Anual
Yes,Sim
Yesterday,Ontem
You are not authorized to add or update entries before {0},Você não está autorizado para adicionar ou atualizar entradas antes de {0}
You are not authorized to set Frozen value,Você não está autorizado para definir o valor congelado
You are the Expense Approver for this record. Please Update the 'Status' and Save,Você é o aprovador de despesa para esse registro. Atualize o 'Estado' e salvar
You are the Leave Approver for this record. Please Update the 'Status' and Save,Você é o Leave aprovador para esse registro. Atualize o 'Estado' e salvar
You can enter any date manually,Você pode entrar qualquer data manualmente
You can enter the minimum quantity of this item to be ordered.,Você pode inserir a quantidade mínima deste item a ser encomendada.
